,Product,SKU,MPN,RRP,CurrentPrice,URL
200,Dinas Emrys Earrings,13469402,3SDRLDE,£260.00,£156.00,https://www.clogauoutlet.co.uk/jewellery-clothing-women-acc/dinas-emrys-earrings/13469402.html
201,Clogau Dinas Emrys Pendant,13469403,3SDRLP,£239.00,£143.40,https://www.clogauoutlet.co.uk/jewellery-clothing-women-acc/clogau-dinas-emrys-pendant/13469403.html
202,Dinas Emrys Ring,13469404,3SDRLR,£169.00,£101.40,https://www.clogauoutlet.co.uk/dinas-emrys-ring-sterling-silver-gold/13469404.html
203,Clogau Daffodil Lapel Pin,13469416,3SDSP4,£99.00,£59.40,https://www.clogauoutlet.co.uk/jewellery-clothing-women-acc/clogau-daffodil-lapel-pin/13469416.html
204,Clogau Ebb and Flow Pendant,13469417,3SEBFP,£250.00,£150.00,https://www.clogauoutlet.co.uk/jewellery-clothing-women-acc/clogau-ebb-and-flow-pendant/13469417.html
205,Ebb and Flow Ring,13469418,3SEBFR,£219.00,£131.40,https://www.clogauoutlet.co.uk/ebb-and-flow-ring-sterling-silver-gold/13469418.html
206,Ebb and Flow Earrings,13469430,3SEBFSE,£280.00,£168.00,https://www.clogauoutlet.co.uk/jewellery-clothing-women-acc/ebb-and-flow-earrings/13469430.html
207,Welsh Royalty Stud Earrings,13469431,3SEDE4,£139.00,£83.40,https://www.clogauoutlet.co.uk/jewellery-clothing-women-acc/welsh-royalty-stud-earrings/13469431.html
208,Clogau Welsh Royalty Pendant,13469432,3SEDP4,£169.00,£101.40,https://www.clogauoutlet.co.uk/jewellery-clothing-women-acc/clogau-welsh-royalty-pendant/13469432.html
209,Welsh Royalty Ring,13469433,3SEDR1,£250.00,£150.00,https://www.clogauoutlet.co.uk/welsh-royalty-ring-sterling-silver-gold/13469433.html
210,Tree of Life® Origin Earrings,13469451,3SENGTOLE,£129.00,£77.40,https://www.clogauoutlet.co.uk/jewellery-clothing-women-acc/tree-of-life-origin-earrings/13469451.html
